Tiết,Chủ đề,Bài dạy,Yêu cầu cần đạt
1,2,3,"Bài 1. Sử dụng một số hóa chất, thiết bị cơ bản trong phòng thí nghiệm (tiết 1, 2, 3), - Nhận biết được một số dụng cụ và hoá chất sử dụng trong môn Khoa học tự nhiên 8."
4,5,6,
Bài 2. Phản ứng hóa học (tiết 1),– Nêu được khái niệm sự biến đổi vật lí,biến đổi hoá học.,
7,8,Bài 3. Mol và tỉ khối của chất khí (tiết 1,"2), – Nêu được khái niệm về mol (nguyên tử, phân tử)."
9,10,11,"12, Bài 4. Dung dịch và nồng độ (tiết 1, 2, 3, 4), – Nêu được dung dịch là hỗn hợp lỏng đồng nhất của các chất đã tan trong nhau."
– Nêu được định nghĩa độ tan của một chất trong nước,nồng độ phần trăm,nồng độ mol.,
13,14,15,"16, Bài 5. Định luật bảo toàn khối lượng. Phương trình hóa học (tiết 1, 2, 3, 4), – Tiến hành được thí nghiệm để chứng minh: Trong phản ứng hoá học, khối lượng được bảo toàn."
17,18,19,"20, Bài 6. Tính theo phương trình hóa học (tiết 1, 2, 3, 4), - Tính được lượng chất trong phương trình hóa học theo số mol, khối lượng hoặc thể tích ở điều kiện 1 bar và 25 0 C."
21,22,23,"24, Bài 7. Tốc độ phản ứng và chất xúc tác (tiết 1, 2, 3, 4), - Nêu được khái niệm về tốc độ phản ứng (chỉ mức độ nhanh hay chậm của phản ứng hoá học)."
25,26,27,
Bài 8. Acid (tiết 1,2,3),– Nêu được khái niệm acid (tạo ra ion H+ )
– Trình bày được một số ứng dụng của một số acid thông dụng (HCl,H2SO4,CH3COOH).,
28,29,Bài 9. Base. Thang pH (tiết 1),– Nêu được khái niệm base (tạo ra ion OH– )
– Tiến hành được thí nghiệm base là làm đổi màu chất chỉ thị,phản ứng với acid tạo muối,nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất của base.,
30,Ôn tập kiểm tra giữa kì I,YCCĐ trong các bài đã học.,
31,32,Kiểm tra giữa kì I,Nhận biết:
– Trình bày được các ứng dụng phổ biến của phản ứng toả nhiệt (đốt cháy than,xăng,dầu).,
– Nêu được định nghĩa độ tan của một chất trong nước,nồng độ phần trăm,nồng độ mol.,
– Trình bày được một số ứng dụng của một số acid thông dụng (HCl,HSO,CHCOOH).,
33,34,35,"Bài 9. Base. Thang pH (tiết 3, 4, 5), – Tra được bảng tính tan để biết một hydroxide cụ thể thuộc loại kiềm hoặc base không tan."
- Liên hệ được pH trong dạ dày,trong máu,trong nước mưa,đất.
36,37,38,"Bài 10. Oxide (tiết 1), – Tiến hành được thí nghiệm oxide kim loại phản ứng với acid; oxide phi kim phản ứng với base; nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất hoá học của oxide."
39,40,41,"42, 43, 44, Bài 11. Muối (tiết 1, 2), – Nêu được khái niệm về muối (các muối thông thường là hợp chất được hình thành từ sự thay thế ion H+ của acid bởi ion kim loại hoặc ion NH . 4 ) +"
– Đọc được tên một số loại muối thông dụng. – Tiến hành được thí nghiệm muối phản ứng với kim loại,với acid,với base,với muối; nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra kết luận về tính chất hoá học của muối.
– Trình bày được mối quan hệ giữa acid,base,oxide và muối; rút ra được kết luận về tính chất hoá học của acid,"base, oxide"
45,46,47,"Bài 12. Phân bón hóa học (tiết 1, 2, 3), - Trình bày được vai trò của phân bón (một trong những nguồn bổ sung một số nguyên tố: đa lượng, trung lượng, vi lượng dưới dạng vô cơ và hữu cơ) cho đất, cây trồng."
– Nêu được thành phần và tác dụng cơ bản của một số loại phân bón hoá học đối với câytrồng (phân đạm,phân lân,phân kali,phân N–P–K).
– Trình bày được ảnh hưởng của việc sử dụng phân bón hoá học (không đúng cách,không đúng liều lượng) đến môi trường của đất,nước và sức khoẻ của con người. – Đề xuất được biện pháp giảm thiểu ô nhiễm của phân bón,
48,49,Bài 13. Khối lượng riêng (tiết 1),"- Nêu được định nghĩa khối lượng riêng, xác định được khối lượng riêng qua khối lượng và thể tích tương ứng, khối lượng riêng = khối lượng/thể tích."
50,51,Bài 14. Thực hành xác định khối lượng riêng (tiết 1,"2), – Thực hiện thí nghiệm để xác định được khối lượng riêng của một khối hộp chữ nhật, của một vật có hình dạng bất kì, của một lượng chất lỏng"
52,53,Bài 15. Áp suất trên một bề mặt (tiết 1),"– Dùng dụng cụ thực hành, khẳng định được: áp suất sinh ra khi có áp lực tác dụng lên một diện tích bề mặt, áp suất = áp lực/diện tích bề mặt."
54,55,56,"Bài 16. Áp suất trong chất lỏng. Áp suất khí quyển (tiết 1, 2, 3), – Nêu được: Áp suất tác dụng vào chất lỏng sẽ được chất lỏng truyền đi nguyên vẹn theo mọi hướng; lấy được ví dụ minh hoạ."
– Giải thích được một số ứng dụng về áp suất không khí trong đời sống (ví dụ như: giác mút,bình xịt,tàu đệm khí),
57,58,Bài 17. Lực đẩy Archimedes (tiết 1,"2), – Thực hiện thí nghiệm khảo sát tác dụng của chất lỏng lên vật đặt trong chất lỏng, rút ra được: Điều kiện định tính về vật nổi, vật chìm; định luật Archimedes (Acsimet)"
59,60,Ôn tập kiểm tra cuối kì I,YCCĐ trong các bài đã học.
61,62,Kiểm tra cuối kì I,
63,64,Trả bài kiểm tra cuối kì I,
65,66,67,"68, Bài 18. Tác dụng làm quay của lực. Moment lực (tiết 1, 2, 3, 4), – Thực hiện thí nghiệm để mô tả được tác dụng làm quay của lực."
69,70,71,"72, Bài 19. Đòn bẩy và ứng dụng (tiết 1, 2, 3, 4), – Dùng dụng cụ đơn giản, minh họa được đòn bẩy có thể làm thay đổi hướng tác dụng của lực."
Bài 20. Hiện tượng nhiễm điện do cọ xát (tiết 1,2),– Giải thích được sơ lược nguyên nhân một vật cách điện nhiễm điện do cọ xát.,
75,76,Bài 21. Dòng điện,"nguồn điện (tiết 1, 2), – Định nghĩa được dòng điện là dòng chuyển dời có hướng của các hạt mang điện."
